perms,i=0,i=1,i=2,i=3,i=4,i=5,i=6,i=7,i=8,i=9,i=10,i=11,i=12,i=13,i=14,i=15,i=16,i=17,i=18,i=19,i=20,i=21,i=22,i=23,i=24,i=25,i=26,i=27,i=28,i=29,i=30,i=31,i=32,i=33,i=34,i=35,i=36,i=37,i=38,i=39,i=40,i=41,i=42,i=43,i=44,i=45,i=46,i=47,i=48,i=49,i=50
"[1]",0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"[2]",0,1,2,3,6,9,10,11,14,17,18,19,22,25,26,27,30,33,34,35,38,41,42,43,46,49,50,51,54,57,58,59,62,65,66,67,70,73,74,75,78,81,82,83,86,89,90,91,94,97,98
"[1,1]",0,0,2,5,6,7,10,13,14,15,18,21,22,23,26,29,30,31,34,37,38,39,42,45,46,47,50,53,54,55,58,61,62,63,66,69,70,71,74,77,78,79,82,85,86,87,90,93,94,95,98
"[3]",0,0,1,4,8,14,24,35,46,61,79,97,117,140,165,192,220,250,284,319,354,393,435,477,521,568,617,668,720,774,832,891,950,1013,1079,1145,1213,1284,1357,1432,1508,1586,1668,1751,1834,1921,2011,2101,2193,2288,2385
"[2,1]",0,0,2,7,16,30,47,68,94,123,156,194,235,280,330,383,440,502,567,636,710,787,868,954,1043,1136,1234,1335,1440,1550,1663,1780,1902,2027,2156,2290,2427,2568,2714,2863,3016,3174,3335,3500,3670,3843,4020,4202,4387,4576,4770
"[1,1,1]",0,0,0,3,9,15,23,34,47,62,78,96,118,141,164,191,221,251,283,318,355,394,434,476,522,569,616,667,721,775,831,890,951,1014,1078,1144,1214,1285,1356,1431,1509,1587,1667,1750,1835,1922,2010,2100,2194,2289,2384
"[4]",0,0,0,1,6,17,33,57,96,149,212,291,395,523,667,832,1034,1269,1523,1807,2139,2512,2911,3346,3839,4383,4957,5574,6261,7008,7790,8622,9535,10516,11537,12616,13786,15034,16328,17685,19145,20692,22288,23956,25738,27615,29548,31559,33694,35934,38234
"[3,1]",0,0,1,6,19,46,97,178,288,435,634,887,1190,1553,1994,2515,3107,3782,4563,5448,6425,7508,8723,10068,11526,13113,14860,16761,18796,20983,23356,25909,28617,31500,34597,37898,41375,45050,48965,53110,57452,62015,66846,71931,77234,82781,88622,94743,101103,107730,114679
"[2,2]",0,0,0,2,12,34,66,113,190,298,425,581,790,1047,1333,1663,2067,2537,3047,3614,4277,5025,5822,6690,7677,8766,9914,11148,12522,14016,15580,17243,19068,21032,23075,25231,27572,30069,32655,35369,38289,41383,44577,47912,51475,55231,59096,63116,67387,71868,76468
"[2,1,1]",0,0,0,4,17,45,97,177,287,435,633,885,1188,1552,1994,2514,3106,3782,4562,5446,6423,7507,8723,10067,11525,13113,14859,16759,18794,20982,23356,25908,28616,31500,34596,37896,41373,45049,48965,53109,57451,62015,66845,71929,77232,82780,88622,94742,101102,107730,114678
"[1,1,1,1]",0,0,0,0,5,17,32,55,94,148,212,290,394,523,666,830,1032,1268,1523,1806,2138,2512,2910,3344,3837,4382,4957,5573,6260,7008,7789,8620,9533,10515,11537,12615,13785,15034,16327,17683,19143,20691,22288,23955,25737,27615,29547,31557,33692,35933,38234
"[5]",0,0,0,0,2,10,29,67,132,236,397,626,936,1354,1905,2605,3476,4554,5872,7452,9324,11533,14123,17122,20563,24506,29003,34083,39791,46196,53358,61315,70116,79840,90558,102312,115157,129185,144476,161075,179047,198494,219502,242124,266431,292535,320534,350485,382464,416596,452988
"[4,1]",0,0,0,2,12,43,118,267,529,951,1584,2492,3748,5427,7615,10408,13908,18225,23477,29790,37299,46147,56482,68463,82259,98041,115991,136302,159171,184804,213415,245226,280469,319382,362209,409205,460635,516767,577878,644257,716197,794000,877977,968445,1065732,1170172,1282105,1401883,1529866,1666418,1811912
"[3,2]",0,0,0,2,14,53,147,334,660,1184,1978,3116,4681,6778,9518,13010,17380,22774,29343,37237,46618,57674,70600,85580,102815,122539,144986,170377,198954,230992,266765,306533,350576,399211,452756,511507,575781,645941,722344,805321,895232,992481,1097465,1210556,1332150,1462693,1602626,1752355,1912315,2082998,2264884
"[3,1,1]",0,0,0,2,16,62,171,393,789,1420,2364,3725,5613,8132,11405,15591,20850,27327,35192,44657,55933,69207,84694,102661,123368,147045,173953,204412,238733,277187,320082,367792,420677,479051,543267,613754,690922,775126,866766,966324,1074261,1190974,1316908,1452600,1598560,1755228,1923095,2102751,2294757,2499594,2717800
"[2,2,1]",0,0,0,1,10,47,142,328,651,1176,1971,3106,4669,6765,9504,12996,17364,22757,29328,37220,46597,57653,70579,85557,102791,122515,144962,170352,198926,230962,266736,306503,350543,399179,452725,511473,575745,645904,722306,805283,895192,992440,1097426,1210515,1332105,1462648,1602581,1752308,1912267,2082950,2264836
"[2,1,1,1]",0,0,0,0,7,36,109,257,517,935,1567,2475,3727,5403,7591,10382,13879,18194,23444,29756,37263,46107,56441,68422,82214,97993,115943,136252,159118,184749,213358,245168,280409,319318,362144,409140,460566,516695,577806,644183,716120,793921,877896,968363,1065648,1170084,1282016,1401794,1529773,1666322,1811816
"[1,1,1,1,1]",0,0,0,0,0,7,28,64,125,229,390,617,926,1344,1895,2594,3462,4538,5857,7436,9305,11515,14106,17102,20541,24483,28979,34059,39765,46169,53333,61288,70085,79809,90527,102279,115123,129151,144442,161040,179009,198454,219463,242084,266388,292493,320493,350441,382418,416549,452940
"[6]",0,0,0,0,0,3,16,49,125,278,539,962,1639,2654,4090,6090,8839,12508,17269,23366,31124,40844,52788,67346,85039,106301,131519,161282,196314,237223,284568,339136,401907,473719,555288,647644,752092,869685,1001334,1148383,1312449,1494848,1696749,1919784,2165943,2436871,2733959,3059186,3414993,3803323,4225835
"[5,1]",0,0,0,0,3,22,89,265,647,1383,2694,4861,8219,13219,20441,30533,44234,62459,86300,116947,155690,204056,263837,336918,425278,531240,657458,806649,981659,1185764,1422623,1695976,2009683,2368107,2776116,3238622,3760619,4347761,5006283,5742392,6562418,7473455,8483234,9599468,10829958,12183362,13669131,15296625,17075230,19015388,21128420
"[4,2]",0,0,0,0,7,45,164,471,1162,2509,4859,8714,14771,23832,36805,54883,79571,112483,155356,210366,280140,367385,474931,606233,765346,956354,1183447,1451651,1766763,2134524,2560750,3052333,3617118,4262787,4997048,5828953,6768708,7826216,9011343,10335595,11811847,13452506,15269862,17278169,19493283,21930397,24604490,27532858,30734646,34228115,38031201
